scorer,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000,DLC_resnet101_EPMJan24shuffle1_950000
bodyparts,Nose,Nose,Nose,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Tailbase,Tailbase,Tailbase,Implant,Implant,Implant
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,400.8775329589844,505.5951232910156,1.0,425.4432067871094,509.8395690917969,1.0,422.67120361328125,490.6172180175781,1.0,496.73834228515625,485.6383056640625,1.0,413.6233215332031,502.3575744628906,1.0
1,397.1740417480469,506.9716796875,1.0,420.75994873046875,512.16455078125,1.0,417.4662780761719,492.1219482421875,1.0,490.8106384277344,486.43218994140625,0.9999998807907104,408.8380126953125,504.17864990234375,1.0
2,391.5227355957031,508.7757873535156,1.0,414.8189392089844,515.7074584960938,1.0,413.7720947265625,493.84454345703125,1.0,486.7022399902344,488.8173522949219,1.0,403.3549499511719,506.346923828125,1.0
3,387.17401123046875,510.71429443359375,1.0,410.3310546875,515.53369140625,1.0,408.2855224609375,496.1779479980469,1.0,482.2349548339844,488.0638732910156,1.0,399.3916320800781,508.27392578125,1.0
4,384.5784912109375,512.7885131835938,1.0,407.38226318359375,517.678466796875,1.0,404.2105712890625,499.009765625,1.0,477.63348388671875,486.9632263183594,1.0,396.82916259765625,510.3284912109375,1.0
5,384.5871276855469,512.78466796875,1.0,407.3681640625,517.6835327148438,1.0,404.20465087890625,499.01043701171875,1.0,477.6324462890625,486.9620056152344,1.0,396.82696533203125,510.3235778808594,1.0
6,381.5425109863281,515.4402465820312,1.0,405.3796691894531,519.360107421875,1.0,402.14959716796875,500.2525939941406,1.0,473.63067626953125,486.573974609375,1.0,394.0614318847656,511.7920837402344,1.0
7,377.1929626464844,517.4786376953125,1.0,402.0191345214844,521.598876953125,1.0,397.8056640625,502.0178527832031,1.0,469.54595947265625,485.0768737792969,1.0,389.7635192871094,513.4147338867188,1.0
8,373.0304260253906,518.8421020507812,1.0,397.7125549316406,522.933349609375,1.0,394.9731140136719,503.26434326171875,1.0,464.7222900390625,483.9435119628906,1.0,386.20135498046875,514.6329956054688,1.0
9,369.7839660644531,521.7130126953125,1.0,394.9549255371094,524.5101928710938,1.0,390.20416259765625,504.6490783691406,1.0,460.1282043457031,484.37152099609375,1.0,382.5511474609375,517.2601318359375,1.0
10,367.4535827636719,523.9152221679688,1.0,392.6499328613281,525.4884033203125,1.0,386.64324951171875,505.8430480957031,1.0,456.92938232421875,485.456787109375,1.0,380.10260009765625,518.4618530273438,1.0
11,365.4190368652344,527.5503540039062,1.0,391.2474670410156,527.25341796875,1.0,384.1075439453125,508.2004699707031,1.0,453.93145751953125,486.356201171875,1.0,378.28021240234375,521.6383666992188,1.0
12,365.2322082519531,533.1668701171875,1.0,390.4324645996094,530.6627197265625,1.0,382.36199951171875,513.0946655273438,1.0,450.9154052734375,487.747802734375,1.0,376.8331604003906,526.2356567382812,1.0
13,366.1526184082031,538.7127075195312,1.0,390.78387451171875,531.2496948242188,1.0,380.3236389160156,516.5642700195312,1.0,448.1283874511719,489.5312194824219,1.0,376.7345275878906,530.2525024414062,1.0
14,365.8807678222656,542.8545532226562,1.0,389.4620666503906,535.4765014648438,1.0,378.4544982910156,521.2127075195312,1.0,445.258544921875,492.0060119628906,0.9999998807907104,375.08160400390625,534.4465942382812,1.0
15,365.5488586425781,546.7511596679688,1.0,389.115966796875,538.3659057617188,1.0,376.9883728027344,523.8713989257812,1.0,443.61163330078125,493.3978576660156,0.9999998807907104,374.49652099609375,537.3895263671875,1.0
16,363.7081604003906,549.8655395507812,1.0,387.4043273925781,541.7686157226562,1.0,375.2882080078125,527.7755126953125,1.0,441.52099609375,494.7808532714844,1.0,373.53448486328125,541.9938354492188,1.0
17,362.3526306152344,553.8678588867188,1.0,386.8527526855469,544.54443359375,1.0,373.97418212890625,530.4415893554688,1.0,439.87432861328125,496.09869384765625,1.0,372.3331604003906,544.869873046875,1.0
18,360.83001708984375,556.0125732421875,1.0,384.4209899902344,547.9810791015625,1.0,372.3262939453125,533.1841430664062,1.0,437.4677429199219,496.7693786621094,1.0,370.4630126953125,547.282958984375,1.0
19,360.2918701171875,562.6312866210938,1.0,382.80169677734375,551.412109375,1.0,369.79205322265625,536.800048828125,1.0,431.6089172363281,496.50567626953125,1.0,369.3279724121094,550.9293823242188,1.0
20,359.0552062988281,565.6881713867188,1.0,382.47308349609375,553.501708984375,1.0,367.919677734375,539.3333129882812,1.0,427.9203796386719,496.5876770019531,1.0,367.92095947265625,554.12744140625,1.0
21,356.44482421875,569.7276611328125,1.0,379.5921936035156,557.729736328125,0.9999998807907104,365.0548400878906,543.2672729492188,1.0,423.87457275390625,496.6345520019531,1.0,365.9071044921875,559.029296875,1.0
22,355.9561767578125,573.4030151367188,1.0,379.0831298828125,560.8154907226562,1.0,364.2417907714844,547.3232421875,1.0,420.1062927246094,496.8937683105469,1.0,365.4354553222656,561.6375122070312,1.0
23,353.93463134765625,575.0084838867188,1.0,377.0203857421875,563.6427612304688,1.0,361.1801452636719,550.4013671875,1.0,416.494873046875,497.34246826171875,1.0,361.8232727050781,564.3163452148438,1.0
24,352.2525634765625,579.113037109375,1.0,374.4388122558594,567.2860717773438,1.0,358.7971496582031,553.6133422851562,1.0,412.2076721191406,499.85479736328125,1.0,359.970458984375,567.3496704101562,1.0
25,351.3670654296875,583.8189697265625,1.0,373.5117492675781,569.578125,1.0,357.6797790527344,556.3660888671875,1.0,409.8979187011719,503.50262451171875,1.0,359.79803466796875,571.70458984375,1.0
26,350.8486633300781,588.0730590820312,0.9999998807907104,372.8729553222656,573.0110473632812,1.0,355.8608703613281,562.1990356445312,1.0,407.9017639160156,507.64202880859375,1.0,359.2012939453125,576.6422729492188,1.0
27,350.8437805175781,588.0701293945312,0.9999998807907104,372.8694763183594,573.0139770507812,1.0,355.86395263671875,562.1970825195312,1.0,407.90704345703125,507.6523742675781,1.0,359.2018737792969,576.641357421875,1.0
28,352.0440673828125,591.5170288085938,1.0,372.50006103515625,576.8422241210938,1.0,355.10968017578125,566.1976318359375,1.0,405.8467102050781,511.3134460449219,1.0,358.61029052734375,579.485595703125,1.0
29,350.0931701660156,597.5698852539062,1.0,370.94122314453125,581.4789428710938,1.0,354.9762878417969,570.330810546875,1.0,404.1748352050781,516.8511962890625,1.0,357.523193359375,584.37353515625,1.0
30,348.5941467285156,601.964599609375,1.0,370.8846130371094,586.3346557617188,1.0,353.124267578125,576.0234375,1.0,402.4655456542969,519.3905029296875,1.0,357.18182373046875,589.7023315429688,1.0
31,346.67449951171875,605.1262817382812,0.9999998807907104,370.2813415527344,590.6654052734375,1.0,353.246337890625,579.42431640625,1.0,400.9981384277344,521.1771850585938,1.0,355.6088562011719,593.3635864257812,1.0
32,345.8353576660156,607.9342651367188,1.0,369.7365417480469,594.8204956054688,1.0,353.016357421875,582.5873413085938,1.0,398.6339111328125,524.2070922851562,1.0,355.1850891113281,595.8043823242188,1.0
33,345.601806640625,611.9336547851562,1.0,369.65985107421875,597.2408447265625,1.0,352.6628723144531,585.4564819335938,1.0,394.9557189941406,525.9630126953125,0.9999998807907104,354.5218505859375,598.9735107421875,1.0
34,345.50616455078125,616.0139770507812,0.9999998807907104,369.6397399902344,600.09033203125,1.0,351.6242980957031,590.0653686523438,1.0,392.4693298339844,527.6600952148438,1.0,355.09039306640625,603.2623291015625,1.0
35,346.2333984375,620.7373046875,0.9999998807907104,368.3669738769531,603.184326171875,1.0,350.6707763671875,595.0367431640625,1.0,389.939208984375,528.6732788085938,1.0,354.355224609375,607.1178588867188,1.0
36,348.7047119140625,622.7974243164062,1.0,369.3743896484375,606.1943359375,1.0,350.84368896484375,598.5287475585938,1.0,386.23089599609375,530.0067138671875,1.0,354.5545654296875,610.9409790039062,1.0
