scorer,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000,DLC_resnet101_OpenFieldJan28shuffle1_750000
bodyparts,Nose,Nose,Nose,LeftEar,LeftEar,LeftEar,RightEar,RightEar,RightEar,Tailbase,Tailbase,Tailbase
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,654.99267578125,954.1436767578125,0.9999996423721313,691.407470703125,965.536865234375,1.0,692.1871337890625,937.747314453125,1.0,804.5245971679688,969.830810546875,0.9999996423721313
1,648.052490234375,953.8530883789062,0.9999996423721313,681.2662963867188,964.6664428710938,1.0,681.3369140625,937.7213745117188,0.9999994039535522,794.6367797851562,965.8848876953125,0.9999991655349731
2,641.2853393554688,952.8784790039062,0.9999997615814209,674.0679931640625,962.5540771484375,1.0,673.6111450195312,937.1270141601562,0.9999996423721313,783.3096313476562,968.1390380859375,0.9999986886978149
3,634.895751953125,951.8414306640625,0.9999998807907104,666.8684692382812,962.6444091796875,1.0,668.1586303710938,936.3206176757812,0.9999994039535522,773.9644775390625,966.8219604492188,0.9999997615814209
4,627.4310913085938,951.23388671875,1.0,659.78369140625,963.5470581054688,1.0,661.6755981445312,937.0836181640625,0.9999998807907104,768.902099609375,966.7953491210938,0.9999997615814209
5,620.3214721679688,952.0072021484375,0.9999998807907104,651.8228759765625,966.2509155273438,1.0,654.05517578125,939.2097778320312,0.9999992847442627,763.88037109375,968.2250366210938,0.9999881982803345
6,614.56787109375,950.7857666015625,1.0,645.1014404296875,966.5006103515625,1.0,647.5001220703125,940.0170288085938,0.9999996423721313,755.9932861328125,966.5637817382812,0.9999997615814209
7,614.3311767578125,948.6004638671875,1.0,643.228271484375,966.1731567382812,1.0,646.3343505859375,940.074462890625,0.9999998807907104,752.485107421875,972.5485229492188,0.999998927116394
8,619.9094848632812,946.7266235351562,1.0,644.9133911132812,966.073974609375,1.0,650.1878662109375,940.5353393554688,0.9999990463256836,753.1211547851562,972.40185546875,0.999998927116394
9,627.9451904296875,943.8326416015625,1.0,649.2533569335938,965.786376953125,0.9999996423721313,656.040283203125,939.9977416992188,0.9999991655349731,755.26416015625,972.5092163085938,0.9999995231628418
10,627.658935546875,942.8221435546875,1.0,649.623779296875,965.7605590820312,0.9999997615814209,657.4564819335938,939.7949829101562,0.9999997615814209,756.6115112304688,972.5973510742188,0.9999992847442627
11,623.4077758789062,944.3272705078125,0.9999998807907104,646.6690063476562,965.4010009765625,1.0,651.4086303710938,939.6104736328125,0.9999994039535522,755.1217041015625,973.2999267578125,0.9999997615814209
12,619.6961669921875,945.4917602539062,1.0,645.0010375976562,965.5828857421875,1.0,650.8828735351562,939.4730224609375,0.9999994039535522,753.6620483398438,972.5990600585938,0.9999992847442627
13,615.542236328125,945.2901000976562,1.0,642.3929443359375,964.476806640625,1.0,647.082763671875,939.6422119140625,0.9999998807907104,751.3309936523438,971.920654296875,0.9999971389770508
14,611.2936401367188,947.5179443359375,1.0,638.0982666015625,966.047119140625,0.9999998807907104,643.1609497070312,939.6688232421875,0.9999998807907104,747.919189453125,972.0542602539062,0.9999856948852539
15,605.9021606445312,948.2129516601562,1.0,632.1586303710938,967.681396484375,0.9999996423721313,635.5498657226562,941.3095703125,0.9999988079071045,743.4764404296875,972.1527709960938,0.9999990463256836
16,600.0784301757812,948.754150390625,1.0,627.0286254882812,968.3580322265625,0.9999998807907104,630.1226196289062,941.88427734375,0.9999996423721313,736.5599365234375,971.2230224609375,0.9999985694885254
17,593.6303100585938,948.8543701171875,1.0,620.7452392578125,968.6410522460938,0.9999991655349731,625.6304931640625,942.8729248046875,0.9999995231628418,728.4180908203125,973.3289184570312,0.9999991655349731
18,587.6475830078125,947.68603515625,1.0,616.3244018554688,967.02392578125,0.9999997615814209,619.6151733398438,940.7794189453125,0.9999992847442627,722.71435546875,974.2210693359375,0.9999998807907104
19,581.9195556640625,945.648681640625,1.0,610.7393798828125,966.3580322265625,1.0,614.1984252929688,940.6828002929688,0.9999998807907104,716.8821411132812,976.9071655273438,0.999998927116394
20,576.05078125,944.28955078125,1.0,604.7592163085938,965.8607788085938,0.9999998807907104,610.44970703125,939.3587036132812,0.9999997615814209,711.7301635742188,980.2177124023438,1.0
21,569.6168212890625,943.44189453125,0.9999998807907104,597.9598999023438,963.6876220703125,1.0,602.65283203125,938.184326171875,0.9999991655349731,705.0679931640625,983.5099487304688,0.9999998807907104
22,562.8377685546875,941.51123046875,0.9999998807907104,590.6522827148438,962.19775390625,0.9999998807907104,596.31201171875,936.9955444335938,0.9999997615814209,698.6681518554688,983.7454223632812,0.9999961853027344
23,553.4647827148438,939.1051635742188,0.9999991655349731,582.5455932617188,959.2132568359375,0.9999997615814209,588.1973876953125,933.729736328125,0.9999997615814209,692.0493774414062,982.6163940429688,1.0
24,550.1002807617188,938.3004760742188,1.0,579.9241943359375,959.4273681640625,0.9999998807907104,583.84765625,933.7085571289062,0.9999997615814209,687.2809448242188,981.5663452148438,0.9999996423721313
25,546.233642578125,938.5328369140625,1.0,578.200439453125,958.9075317382812,1.0,584.6837158203125,932.6724853515625,0.9999997615814209,683.5234375,980.9633178710938,0.9999984502792358
26,541.779296875,939.0973510742188,0.9999990463256836,576.232421875,959.01904296875,0.9999998807907104,583.6939086914062,931.8643798828125,1.0,682.3829956054688,980.809326171875,0.9999990463256836
27,544.416748046875,936.564697265625,0.9999998807907104,576.0839233398438,959.0391845703125,0.9999997615814209,583.93017578125,932.7250366210938,0.9999998807907104,680.9072265625,980.16259765625,0.9999997615814209
28,549.3760375976562,930.0970458984375,1.0,576.4655151367188,957.3556518554688,0.9999994039535522,587.573486328125,931.9133911132812,0.9999998807907104,679.9747314453125,980.8099975585938,0.9999998807907104
29,559.7021484375,921.8299560546875,0.9999997615814209,575.7760620117188,954.9256591796875,0.9999988079071045,592.565673828125,933.052734375,0.9999998807907104,679.623046875,981.7642822265625,0.9999998807907104
