Start,Stop,Length,Type
18633,18671,38,FP
11907,11939,32,FP
7248,7279,31,FP
12005,12028,23,FP
15490,15513,23,FP
11550,11570,20,FP
9909,9926,17,FP
16324,16341,17,FP
1610,1627,17,FN
14638,14647,9,FP
14963,14971,8,FP
16153,16161,8,FP
16824,16831,7,FP
13932,13938,6,FP
14942,14947,5,FP
17274,17279,5,FP
17628,17633,5,FP
11120,11124,4,FP
13275,13279,4,FP
10369,10372,3,FP
1709,1711,2,FP
11184,11186,2,FP
12251,12253,2,FP
13538,13540,2,FP
14024,14026,2,FP
14525,14527,2,FP
17209,17211,2,FP
9993,9994,1,FP
12105,12106,1,FP
12344,12345,1,FP
15909,15910,1,FP
16679,16680,1,FP
19137,19138,1,FP
11636,11636,0,FP
13002,13002,0,FP
15336,15336,0,FP
16113,16113,0,FP
17540,17540,0,FP
18263,18263,0,FP
