Start,Stop,Length,Type
19139,19489,350,FN
8383,8570,187,FN
9730,9908,178,FN
9995,10157,162,FN
16681,16823,142,FN
13002,13139,137,FP
13154,13274,120,FN
15909,16028,119,FP
14528,14637,109,FN
18264,18370,106,FN
11187,11288,101,FN
11020,11119,99,FN
12251,12345,94,FP
13932,14026,94,FP
17541,17627,86,FN
15490,15574,84,FP
10369,10440,71,FP
17212,17273,61,FN
7191,7247,56,FN
14448,14498,50,FP
15337,15375,38,FN
16114,16152,38,FN
11871,11906,35,FN
16342,16374,32,FN
11637,11667,30,FN
15681,15711,30,FN
14320,14344,24,FN
13541,13564,23,FN
12107,12127,20,FN
7327,7345,18,FN
1712,1729,17,FN
14948,14962,14,FN
18633,18635,2,FP
